Matchup,cd,dem_name,rep_name,prediction,raw_prediction,bucket,win_prob_d,flip,win_prob_r
Linda Sanchez (D) vs Mitch Clemmons (R),CA-41,Linda Sanchez,Mitch Clemmons,D+27.1,-27.1,Safe D,100,N,0
Robert Garcia (D) vs Brian Burley (R),CA-42,Robert Garcia,Brian Burley,D+25.3,-25.3,Safe D,100,N,0
Maxine Waters (D) vs Cristian Morales (R),CA-43,Maxine Waters,Cristian Morales,D+62.2,-62.2,Safe D,100,N,0
Nanette Barragan (D) vs Genevieve Angel (R),CA-44,Nanette Barragan,Genevieve Angel,D+52.2,-52.2,Safe D,100,N,0
Derek Tran (D) vs Chuong V. Vo (R),CA-45,Derek Tran,Chuong V. Vo,D+16.3,-16.3,Safe D,99,N,1
Lou Correa (D) vs David Pan (R),CA-46,Lou Correa,David Pan,D+34.3,-34.3,Safe D,100,N,0
Dave Min (D) vs Jenny Rae Le Roux (R),CA-47,Dave Min,Jenny Rae Le Roux,D+19.4,-19.4,Safe D,99,N,1
Marni von Wilpert (D) vs Jim Desmond (R),CA-48,Marni von Wilpert,Jim Desmond,D+10.3,-10.3,Likely D,94,Y,6
Mike Levin (D) vs Armen Kurdian (R),CA-49,Mike Levin,Armen Kurdian,D+19.6,-19.6,Safe D,100,N,0
Scott Peters (D) vs Steve Cohen (R),CA-50,Scott Peters,Steve Cohen,D+28.3,-28.3,Safe D,100,N,0
Sara Jacobs (D) vs Ricardo Cabrera (R),CA-51,Sara Jacobs,Ricardo Cabrera,D+29.7,-29.7,Safe D,100,N,0
Juan Vargas (D) vs Jeff Belle (R),CA-52,Juan Vargas,Jeff Belle,D+30.5,-30.5,Safe D,100,N,0
Diana DeGette (D) vs Eventual Nominee (R),CO-01,Diana DeGette,Eventual Nominee,D+67.4,-67.4,Safe D,100,N,0
Joe Neguse (D) vs Eventual Nominee (R),CO-02,Joe Neguse,Eventual Nominee,D+50.9,-50.9,Safe D,100,N,0
Eventual Nominee (D) vs Jeff Hurd (R),CO-03,Eventual Nominee,Jeff Hurd,R+2.3,2.3,Lean R,37,N,63
Eileen Laubacher (D) vs Lauren Boebert (R),CO-04,Eileen Laubacher,Lauren Boebert,R+5.2,5.2,Lean R,21,N,79
Eventual Nominee (D) vs Jeff Crank (R),CO-05,Eventual Nominee,Jeff Crank,R+5.6,5.6,Likely R,19,N,81
Jason Crow (D) vs Mel Tewahade (R),CO-06,Jason Crow,Mel Tewahade,D+32.2,-32.2,Safe D,100,N,0
Brittany Pettersen (D) vs Tim Bennett (R),CO-07,Brittany Pettersen,Tim Bennett,D+27.3,-27.3,Safe D,100,N,0
Eventual Nominee (D) vs Gabe Evans (R),CO-08,Eventual Nominee,Gabe Evans,D+3.2,-3.2,Lean D,69,Y,31
John Larson (D) vs Eventual Nominee (R),CT-01,John Larson,Eventual Nominee,D+37.0,-37,Safe D,100,N,0
Joe Courtney (D) vs Eventual Nominee (R),CT-02,Joe Courtney,Eventual Nominee,D+25.7,-25.7,Safe D,100,N,0
Rosa DeLauro (D) vs Christopher Lancia (R),CT-03,Rosa DeLauro,Christopher Lancia,D+28.3,-28.3,Safe D,100,N,0
Jim Himes (D) vs Eventual Nominee (R),CT-04,Jim Himes,Eventual Nominee,D+34.3,-34.3,Safe D,100,N,0
Jahana Hayes (D) vs Eventual Nominee (R),CT-05,Jahana Hayes,Eventual Nominee,D+15.7,-15.7,Safe D,99,N,1
Sarah McBride (D) vs Eventual Nominee (R),DE-AL,Sarah McBride,Eventual Nominee,D+29.3,-29.3,Safe D,100,N,0
Eventual Nominee (D) vs Jimmy Patronis (R),FL-01,Eventual Nominee,Jimmy Patronis,R+38.6,38.6,Safe R,0,N,100
Eventual Nominee (D) vs Eventual Nominee (R),FL-02,Eventual Nominee,Eventual Nominee,R+13.8,13.8,Safe R,3,N,97
Seth Harp (D) vs Kat Cammack (R),FL-03,Seth Harp,Kat Cammack,R+21.7,21.7,Safe R,0,N,100
Eventual Nominee (D) vs Aaron Bean (R),FL-04,Eventual Nominee,Aaron Bean,R+10.0,10,Likely R,7,N,93
Rachel Grage (D) vs John Rutherford (R),FL-05,Rachel Grage,John Rutherford,R+24.2,24.2,Safe R,0,N,100
Eventual Nominee (D) vs Randy Fine (R),FL-06,Eventual Nominee,Randy Fine,R+31.4,31.4,Safe R,0,N,100
Eventual Nominee (D) vs Cory Mills (R),FL-07,Eventual Nominee,Cory Mills,R+9.3,9.3,Likely R,9,N,91
Eventual Nominee (D) vs Mike Haridopolos (R),FL-08,Eventual Nominee,Mike Haridopolos,R+14.8,14.8,Safe R,2,N,98
Darren Soto (D) vs Eventual Nominee (R),FL-09,Darren Soto,Eventual Nominee,R+8.3,8.3,Likely R,11,Y,89
Maxwell Frost (D) vs Eventual Nominee (R),FL-10,Maxwell Frost,Eventual Nominee,D+33.6,-33.6,Safe D,100,N,0
Eventual Nominee (D) vs Eventual Nominee (R),FL-11,Eventual Nominee,Eventual Nominee,R+11.1,11.1,Safe R,5,N,95
Eventual Nominee (D) vs Gus Bilirakis (R),FL-12,Eventual Nominee,Gus Bilirakis,R+14.8,14.8,Safe R,2,N,98
Eventual Nominee (D) vs Anna Paulina Luna (R),FL-13,Eventual Nominee,Anna Paulina Luna,R+9.0,9,Likely R,9,N,91
Kathy Castor (D) vs Eventual Nominee (R),FL-14,Kathy Castor,Eventual Nominee,D+2.8,-2.8,Lean D,66,N,34
Eventual Nominee (D) vs Laurel Lee (R),FL-15,Eventual Nominee,Laurel Lee,R+20.9,20.9,Safe R,0,N,100
Eventual Nominee (D) vs Eventual Nominee (R),FL-16,Eventual Nominee,Eventual Nominee,R+9.4,9.4,Likely R,8,N,92
Eventual Nominee (D) vs Greg Steube (R),FL-17,Eventual Nominee,Greg Steube,R+23.7,23.7,Safe R,0,N,100
Eventual Nominee (D) vs Scott Franklin (R),FL-18,Eventual Nominee,Scott Franklin,R+17.7,17.7,Safe R,1,N,99
Eventual Nominee (D) vs Eventual Nominee (R),FL-19,Eventual Nominee,Eventual Nominee,R+28.7,28.7,Safe R,0,N,100
Debbie Wasserman Schultz (D) vs Eventual Nominee (R),FL-20,Debbie Wasserman Schultz,Eventual Nominee,D+46.7,-46.7,Safe D,100,N,0
Eventual Nominee (D) vs Brian Mast (R),FL-21,Eventual Nominee,Brian Mast,R+16.4,16.4,Safe R,1,N,99
Eventual Nominee (D) vs Eventual Nominee (R),FL-22,Eventual Nominee,Eventual Nominee,R+5.8,5.8,Likely R,19,Y,81
Lois Frankel (D) vs Eventual Nominee (R),FL-23,Lois Frankel,Eventual Nominee,D+21.9,-21.9,Safe D,100,N,0
Eventual Nominee (D) vs Eventual Nominee (R),FL-24,Eventual Nominee,Eventual Nominee,D+43.6,-43.6,Safe D,100,N,0
Jared Moskowitz (D) vs Eventual Nominee (R),FL-25,Jared Moskowitz,Eventual Nominee,R+1.7,1.7,Lean R,40,Y,60
Eventual Nominee (D) vs Mario Diaz-Balart (R),FL-26,Eventual Nominee,Mario Diaz-Balart,R+20.8,20.8,Safe R,0,N,100
Eventual Nominee (D) vs Maria Elvira Salazar (R),FL-27,Eventual Nominee,Maria Elvira Salazar,R+12.8,12.8,Safe R,3,N,97
Eventual Nominee (D) vs Carlos Gimenez (R),FL-28,Eventual Nominee,Carlos Gimenez,R+26.2,26.2,Safe R,0,N,100
Amanda Hollowell (D) vs Jim Kingston (R),GA-01,Amanda Hollowell,Jim Kingston,R+14.3,14.3,Safe R,2,N,98
Sanford Bishop (D) vs Matt Day (R),GA-02,Sanford Bishop,Matt Day,D+19.8,-19.8,Safe D,100,N,0
Maura Keller (D) vs Brian Jack (R),GA-03,Maura Keller,Brian Jack,R+31.0,31,Safe R,0,N,100
Hank Johnson (D) vs James Duffie (R),GA-04,Hank Johnson,James Duffie,D+59.4,-59.4,Safe D,100,N,0
Nikema Williams (D) vs John Oscar Salvesen (R),GA-05,Nikema Williams,John Oscar Salvesen,D+77.1,-77.1,Safe D,100,N,0
Lucy McBath (D) vs Kevin Martin (R),GA-06,Lucy McBath,Kevin Martin,D+59.3,-59.3,Safe D,100,N,0
Tony Kozycki (D) vs Rich McCormick (R),GA-07,Tony Kozycki,Rich McCormick,R+25.2,25.2,Safe R,0,N,100
Kelly Esti (D) vs Austin Scott (R),GA-08,Kelly Esti,Austin Scott,R+32.1,32.1,Safe R,0,N,100
Caitlyn Gegen (D) vs Andrew Clyde (R),GA-09,Caitlyn Gegen,Andrew Clyde,R+32.0,32,Safe R,0,N,100
Pamela Delancy (D) vs Houston Gaines (R),GA-10,Pamela Delancy,Houston Gaines,R+19.3,19.3,Safe R,0,N,100
Chris Harden (D) vs John Cowan (R),GA-11,Chris Harden,John Cowan,R+22.2,22.2,Safe R,0,N,100
Ceretta Smith (D) vs Rick Allen (R),GA-12,Ceretta Smith,Rick Allen,R+16.3,16.3,Safe R,1,N,99
Jasmine Clark (D) vs Jonathan Chavez (R),GA-13,Jasmine Clark,Jonathan Chavez,D+50.3,-50.3,Safe D,100,N,0
Shawn Harris (D) vs Clay Fuller (R),GA-14,Shawn Harris,Clay Fuller,R+30.0,30,Safe R,0,N,100
Ed Case (D) vs Adriel Lam (R),HI-01,Ed Case,Adriel Lam,D+47.6,-47.6,Safe D,100,N,0
Jill Tokuda (D) vs Brenton Awa (R),HI-02,Jill Tokuda,Brenton Awa,D+38.7,-38.7,Safe D,100,N,0
Christina Bohannan (D) vs Mariannette Miller-Meeks (R),IA-01,Christina Bohannan,Mariannette Miller-Meeks,D+1.6,-1.6,Tossup,59,Y,41
Lindsay James (D) vs Joe Mitchell (R),IA-02,Lindsay James,Joe Mitchell,R+2.7,2.7,Lean R,34,N,66
Sarah Trone Garriott (D) vs Zach Nunn (R),IA-03,Sarah Trone Garriott,Zach Nunn,D+1.4,-1.4,Tossup,58,Y,42
Dave Dawson (D) vs Chris McGowan (R),IA-04,Dave Dawson,Chris McGowan,R+23.9,23.9,Safe R,0,N,100
Kaylee Peterson (D) vs Russ Fulcher (R),ID-01,Kaylee Peterson,Russ Fulcher,R+43.5,43.5,Safe R,0,N,100
Ellie Gilbreath (D) vs Mike Simpson (R),ID-02,Ellie Gilbreath,Mike Simpson,R+25.1,25.1,Safe R,0,N,100
Jonathan Jackson (D) vs Christian Maxwell (R),IL-01,Jonathan Jackson,Christian Maxwell,D+42.1,-42.1,Safe D,100,N,0
Donna Miller (D) vs Michael Noack (R),IL-02,Donna Miller,Michael Noack,D+45.4,-45.4,Safe D,100,N,0
Delia Ramirez (D) vs Angel Oakley (R),IL-03,Delia Ramirez,Angel Oakley,D+47.1,-47.1,Safe D,100,N,0
Patty Garcia (D) vs Lupe Castillo (R),IL-04,Patty Garcia,Lupe Castillo,D+39.6,-39.6,Safe D,100,N,0
Mike Quigley (D) vs Tommy Hanson (R),IL-05,Mike Quigley,Tommy Hanson,D+51.1,-51.1,Safe D,100,N,0
Sean Casten (D) vs Niki Conforti (R),IL-06,Sean Casten,Niki Conforti,D+19.9,-19.9,Safe D,99,N,1
La Shawn Ford (D) vs Chad Koppie (R),IL-07,La Shawn Ford,Chad Koppie,D+73.6,-73.6,Safe D,100,N,0
Melissa Bean (D) vs Jennifer Davis (R),IL-08,Melissa Bean,Jennifer Davis,D+16.2,-16.2,Safe D,99,N,1
Daniel Biss (D) vs John Elleson (R),IL-09,Daniel Biss,John Elleson,D+44.9,-44.9,Safe D,100,N,0
Brad Schneider (D) vs Carl Lambrecht (R),IL-10,Brad Schneider,Carl Lambrecht,D+35.0,-35,Safe D,100,N,0
Bill Foster (D) vs Jeff Walter (R),IL-11,Bill Foster,Jeff Walter,D+25.0,-25,Safe D,100,N,0
Julie Fortier (D) vs Mike Bost (R),IL-12,Julie Fortier,Mike Bost,R+41.0,41,Safe R,0,N,100
Nikki Budzinski (D) vs Jeff Wilson (R),IL-13,Nikki Budzinski,Jeff Wilson,D+27.0,-27,Safe D,100,N,0
Lauren Underwood (D) vs James Marter (R),IL-14,Lauren Underwood,James Marter,D+21.3,-21.3,Safe D,100,N,0
Jennifer Todd (D) vs Mary Miller (R),IL-15,Jennifer Todd,Mary Miller,R+36.3,36.3,Safe R,0,N,100
Paul Nolley (D) vs Darin LaHood (R),IL-16,Paul Nolley,Darin LaHood,R+24.0,24,Safe R,0,N,100
Eric Sorensen (D) vs Dillan Vancil (R),IL-17,Eric Sorensen,Dillan Vancil,D+19.7,-19.7,Safe D,100,N,0
Frank Mrvan (D) vs Barb Regnitz (R),IN-01,Frank Mrvan,Barb Regnitz,D+13.9,-13.9,Safe D,98,N,2
Jamee Decio (D) vs Rudy Yakym (R),IN-02,Jamee Decio,Rudy Yakym,R+24.2,24.2,Safe R,0,N,100
Kelly Thompson (D) vs Marlin Stutzman (R),IN-03,Kelly Thompson,Marlin Stutzman,R+26.6,26.6,Safe R,0,N,100
Drew Cox (D) vs Jim Baird (R),IN-04,Drew Cox,Jim Baird,R+24.2,24.2,Safe R,0,N,100
J.D. Ford (D) vs Victoria Spartz (R),IN-05,J.D. Ford,Victoria Spartz,R+11.4,11.4,Safe R,5,N,95
Cinde Wirth (D) vs Jefferson Shreve (R),IN-06,Cinde Wirth,Jefferson Shreve,R+28.9,28.9,Safe R,0,N,100
Andre Carson (D) vs Patrick McAuley (R),IN-07,Andre Carson,Patrick McAuley,D+54.5,-54.5,Safe D,100,N,0
Mary Allen (D) vs Mark Messmer (R),IN-08,Mary Allen,Mark Messmer,R+34.8,34.8,Safe R,0,N,100
Brad Meyer (D) vs Erin Houchin (R),IN-09,Brad Meyer,Erin Houchin,R+26.9,26.9,Safe R,0,N,100
Eventual Nominee (D) vs Tracey Mann (R),KS-01,Eventual Nominee,Tracey Mann,R+31.0,31,Safe R,0,N,100
Eventual Nominee (D) vs Derek Schmidt (R),KS-02,Eventual Nominee,Derek Schmidt,R+15.3,15.3,Safe R,2,N,98
Sharice Davids (D) vs Chase LaPorte (R),KS-03,Sharice Davids,Chase LaPorte,D+19.2,-19.2,Safe D,100,N,0
Eventual Nominee (D) vs Ron Estes (R),KS-04,Eventual Nominee,Ron Estes,R+19.5,19.5,Safe R,0,N,100
Drew Williams (D) vs James Comer (R),KY-01,Drew Williams,James Comer,R+43.0,43,Safe R,0,N,100
Megan Wingfield (D) vs Brett Guthrie (R),KY-02,Megan Wingfield,Brett Guthrie,R+38.4,38.4,Safe R,0,N,100
Morgan McGarvey (D) vs Maria Rodriguez (R),KY-03,Morgan McGarvey,Maria Rodriguez,D+35.0,-35,Safe D,100,N,0
Melissa Strange (D) vs Ed Gallrein (R),KY-04,Melissa Strange,Ed Gallrein,R+29.4,29.4,Safe R,0,N,100
Ned Pillersdorf (D) vs Hal Rogers (R),KY-05,Ned Pillersdorf,Hal Rogers,R+59.7,59.7,Safe R,0,N,100
Zach Dembo (D) vs Ralph Alvarado (R),KY-06,Zach Dembo,Ralph Alvarado,R+6.4,6.4,Likely R,18,N,82
Lauren Jewett (D) vs Steve Scalise (R),LA-01,Lauren Jewett,Steve Scalise,R+40.1,40.1,Safe R,0,N,100
Troy Carter (D) vs Eventual Nominee (R),LA-02,Troy Carter,Eventual Nominee,D+62.5,-62.5,Safe D,100,N,0
Eventual Nominee (D) vs Clay Higgins (R),LA-03,Eventual Nominee,Clay Higgins,R+39.0,39,Safe R,0,N,100
Eventual Nominee (D) vs Mike Johnson (R),LA-04,Eventual Nominee,Mike Johnson,R+37.1,37.1,Safe R,0,N,100
Eventual Nominee (D) vs Eventual Nominee (R),LA-05,Eventual Nominee,Eventual Nominee,R+31.4,31.4,Safe R,0,N,100
Cleo Fields (D) vs Eventual Nominee (R),LA-06,Cleo Fields,Eventual Nominee,R+16.6,16.6,Safe R,1,Y,99
Richard Neal (D) vs Eventual Nominee (R),MA-01,Richard Neal,Eventual Nominee,D+28.4,-28.4,Safe D,100,N,0
Jim McGovern (D) vs Eventual Nominee (R),MA-02,Jim McGovern,Eventual Nominee,D+36.0,-36,Safe D,100,N,0
Lori Trahan (D) vs Gary Grossi (R),MA-03,Lori Trahan,Gary Grossi,D+34.2,-34.2,Safe D,100,N,0
Jake Auchincloss (D) vs Tom Stalcup (R),MA-04,Jake Auchincloss,Tom Stalcup,D+30.5,-30.5,Safe D,100,N,0
Katherine Clark (D) vs Eventual Nominee (R),MA-05,Katherine Clark,Eventual Nominee,D+57.4,-57.4,Safe D,100,N,0
Eventual Nominee (D) vs Micah Jones (R),MA-06,Eventual Nominee,Micah Jones,D+28.8,-28.8,Safe D,100,N,0
Ayanna Pressley (D) vs Eventual Nominee (R),MA-07,Ayanna Pressley,Eventual Nominee,D+76.2,-76.2,Safe D,100,N,0
Stephen Lynch (D) vs Eventual Nominee (R),MA-08,Stephen Lynch,Eventual Nominee,D+45.2,-45.2,Safe D,100,N,0
Bill Keating (D) vs Tyler MacAllister (R),MA-09,Bill Keating,Tyler MacAllister,D+25.1,-25.1,Safe D,100,N,0
Dan Schwartz (D) vs Andy Harris (R),MD-01,Dan Schwartz,Andy Harris,R+11.3,11.3,Safe R,5,N,95
Johnny Olszewski (D) vs Dave Wallace (R),MD-02,Johnny Olszewski,Dave Wallace,D+31.6,-31.6,Safe D,100,N,0
Sarah Elfreth (D) vs Berney Flowers (R),MD-03,Sarah Elfreth,Berney Flowers,D+36.7,-36.7,Safe D,100,N,0
Glenn Ivey (D) vs George McDermott (R),MD-04,Glenn Ivey,George McDermott,D+87.8,-87.8,Safe D,100,N,0
Adrian Boafo (D) vs Chris Chaffee (R),MD-05,Adrian Boafo,Chris Chaffee,D+43.5,-43.5,Safe D,100,N,0
April McClain Delaney (D) vs Robin Ficker (R),MD-06,April McClain Delaney,Robin Ficker,D+17.2,-17.2,Safe D,99,N,1
Kweisi Mfume (D) vs Scott Collier (R),MD-07,Kweisi Mfume,Scott Collier,D+74.9,-74.9,Safe D,100,N,0
Jamie Raskin (D) vs Cheryl Riley (R),MD-08,Jamie Raskin,Cheryl Riley,D+67.3,-67.3,Safe D,100,N,0
Chellie Pingree (D) vs Eventual Nominee (R),ME-01,Chellie Pingree,Eventual Nominee,D+31.5,-31.5,Safe D,100,N,0
Matt Dunlap (D) vs Paul LePage (R),ME-02,Matt Dunlap,Paul LePage,R+2.0,2,Lean R,39,Y,61
Eventual Nominee (D) vs Jack Bergman (R),MI-01,Eventual Nominee,Jack Bergman,R+15.2,15.2,Safe R,2,N,98
Eventual Nominee (D) vs John Moolenaar (R),MI-02,Eventual Nominee,John Moolenaar,R+28.1,28.1,Safe R,0,N,100
Hillary Scholten (D) vs Eventual Nominee (R),MI-03,Hillary Scholten,Eventual Nominee,D+20.4,-20.4,Safe D,100,N,0
Eventual Nominee (D) vs Bill Huizenga (R),MI-04,Eventual Nominee,Bill Huizenga,R+1.5,1.5,Tossup,42,N,58
Christian Vukasovich (D) vs Tim Walberg (R),MI-05,Christian Vukasovich,Tim Walberg,R+25.0,25,Safe R,0,N,100
Debbie Dingell (D) vs Heather Smiley (R),MI-06,Debbie Dingell,Heather Smiley,D+39.3,-39.3,Safe D,100,N,0
Eventual Nominee (D) vs Tom Barrett (R),MI-07,Eventual Nominee,Tom Barrett,D+2.6,-2.6,Lean D,65,Y,35
Kristen McDonald Rivet (D) vs Eventual Nominee (R),MI-08,Kristen McDonald Rivet,Eventual Nominee,D+13.3,-13.3,Safe D,97,N,3
Eventual Nominee (D) vs Lisa McClain (R),MI-09,Eventual Nominee,Lisa McClain,R+30.2,30.2,Safe R,0,N,100
Eventual Nominee (D) vs Eventual Nominee (R),MI-10,Eventual Nominee,Eventual Nominee,D+2.4,-2.4,Lean D,64,Y,36
